자치구,연도,범죄유형,구분,건수
중구,2023,소계,검거,2465
중구,2023,살인,발생,3
중구,2023,살인,검거,3
중구,2023,강도,발생,6
중구,2023,강도,검거,5
중구,2023,강간·강제추행,발생,212
중구,2023,강간·강제추행,검거,144
중구,2023,절도,발생,1520
중구,2023,절도,검거,864
중구,2023,폭력,발생,1607
중구,2023,폭력,검거,1449
중구,2024,소계,발생,2955
중구,2024,소계,검거,2180
중구,2024,살인,발생,5
중구,2024,살인,검거,4
중구,2024,강도,발생,5
중구,2024,강도,검거,5
중구,2024,강간·강제추행,발생,177
중구,2024,강간·강제추행,검거,121
중구,2024,절도,발생,1398
중구,2024,절도,검거,816
중구,2024,폭력,발생,1370
중구,2024,폭력,검거,1234
용산구,2014,소계,발생,3799
용산구,2014,소계,검거,2340
용산구,2014,살인,발생,1
용산구,2014,살인,검거,2
용산구,2014,강도,발생,7
용산구,2014,강도,검거,7
용산구,2014,강간·강제추행,발생,213
용산구,2014,강간·강제추행,검거,169
용산구,2014,절도,발생,1560
용산구,2014,절도,검거,522
용산구,2014,폭력,발생,2018
용산구,2014,폭력,검거,1640
용산구,2015,소계,발생,3820
용산구,2015,소계,검거,2483
용산구,2015,살인,발생,5
용산구,2015,살인,검거,5
용산구,2015,강도,발생,14
용산구,2015,강도,검거,14
용산구,2015,강간·강제추행,발생,194
용산구,2015,강간·강제추행,검거,173
용산구,2015,절도,발생,1557
용산구,2015,절도,검거,587
용산구,2015,폭력,발생,2050
용산구,2015,폭력,검거,1704
용산구,2016,소계,발생,4137
용산구,2016,소계,검거,2835
용산구,2016,살인,발생,4
용산구,2016,살인,검거,4
용산구,2016,강도,발생,9
용산구,2016,강도,검거,10
용산구,2016,강간·강제추행,발생,251
용산구,2016,강간·강제추행,검거,214
용산구,2016,절도,발생,1489
용산구,2016,절도,검거,599
용산구,2016,폭력,발생,2384
용산구,2016,폭력,검거,2008
용산구,2017,소계,발생,4060
용산구,2017,소계,검거,2936
용산구,2017,살인,발생,1
용산구,2017,살인,검거,1
용산구,2017,강도,발생,5
용산구,2017,강도,검거,4
용산구,2017,강간·강제추행,발생,327
용산구,2017,강간·강제추행,검거,289
용산구,2017,절도,발생,1346
용산구,2017,절도,검거,626
용산구,2017,폭력,발생,2381
용산구,2017,폭력,검거,2016
용산구,2018,소계,발생,3411
용산구,2018,소계,검거,2543
용산구,2018,살인,발생,1
용산구,2018,살인,검거,1
용산구,2018,강도,발생,3
용산구,2018,강도,검거,2
용산구,2018,강간·강제추행,발생,331
용산구,2018,강간·강제추행,검거,285
용산구,2018,절도,발생,1096
용산구,2018,절도,검거,522
용산구,2018,폭력,발생,1980
용산구,2018,폭력,검거,1733
용산구,2019,소계,발생,3313
용산구,2019,소계,검거,2611
용산구,2019,살인,발생,3
용산구,2019,살인,검거,3
용산구,2019,강도,발생,3
용산구,2019,강도,검거,4
용산구,2019,강간·강제추행,발생,272
용산구,2019,강간·강제추행,검거,237
용산구,2019,절도,발생,999
용산구,2019,절도,검거,544
용산구,2019,폭력,발생,2036
용산구,2019,폭력,검거,1823
용산구,2020,소계,발생,2969
용산구,2020,소계,검거,2056
용산구,2020,살인,발생,5
용산구,2020,살인,검거,3
용산구,2020,강도,발생,6
용산구,2020,강도,검거,6
용산구,2020,강간·강제추행,발생,230
용산구,2020,강간·강제추행,검거,186
용산구,2020,절도,발생,1111
용산구,2020,절도,검거,534
용산구,2020,폭력,발생,1617
용산구,2020,폭력,검거,1327
용산구,2021,소계,발생,2381
용산구,2021,소계,검거,1659
용산구,2021,살인,발생,3
용산구,2021,살인,검거,2
용산구,2021,강도,발생,1
용산구,2021,강도,검거,1
용산구,2021,강간·강제추행,발생,141
용산구,2021,강간·강제추행,검거,103
용산구,2021,절도,발생,945
용산구,2021,절도,검거,484
용산구,2021,폭력,발생,1291
용산구,2021,폭력,검거,1069
용산구,2022,소계,발생,2967
용산구,2022,소계,검거,2093
용산구,2022,살인,발생,5
용산구,2022,살인,검거,3
용산구,2022,강도,발생,7
용산구,2022,강도,검거,7
용산구,2022,강간·강제추행,발생,280
용산구,2022,강간·강제추행,검거,238
용산구,2022,절도,발생,978
용산구,2022,절도,검거,508
용산구,2022,폭력,발생,1697
용산구,2022,폭력,검거,1337
용산구,2023,소계,발생,3021
용산구,2023,소계,검거,2268
용산구,2023,살인,발생,3
